Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,13/5/2007,69,43,56,-2,33,46,9,0,434,1902, ,0,M,0,0,29.49,30.24,6.6,14,8.1
2,13/5/2007,69,44,57,M,32,46,8,0,-,-, ,M,M,M,0,29.55,30.24,6.4,11,7.6
1,14/5/2007,90,56,73,15,47,59,0,8,433,1903, ,0,M,0,0,29.23,29.97,16.9,21,17.3
2,14/5/2007,90,54,72,M,45,58,0,7,-,-, ,M,M,M,0,29.31,29.98,14.1,21,14.6
1,15/5/2007,80,57,69,11,56,61,0,4,432,1904,RA BR,0,M,0,0.38,29.13,29.84,8.1,27,12.3
2,15/5/2007,82,56,69,M,56,61,0,4,-,-,TSRA RA BR,M,M,M,0.6,29.19,29.83,8.1,25,10.8
1,16/5/2007,66,44,55,-4,43,48,10,0,431,1905,RA BR,0,M,0,0.14,29.33,30.03,7.8,36,12.2
2,16/5/2007,64,45,55,M,42,47,10,0,-,-,RA BR,M,M,M,0.07,29.39,30.03,8,36,11.8
1,17/5/2007,62,43,53,-6,32,43,12,0,430,1906, ,0,M,0,0,29.55,30.27,10.5,3,11.3
2,17/5/2007,61,44,53,M,32,43,12,0,-,-, ,M,M,M,0,29.62,30.27,11.7,1,12.2
1,18/5/2007,71,42,57,-3,30,46,8,0,429,1907, ,0,M,0,0,29.53,30.25,5.4,25,7.5
2,18/5/2007,70,43,57,M,31,47,8,0,-,-, ,M,M,M,0,29.6,30.26,3.4,22,5.5
1,19/5/2007,80,56,68,8,39,53,0,3,428,1908, ,0,M,0,0,29.34,30.08,11.1,24,11.4
2,19/5/2007,80,56,68,M,37,53,0,3,-,-, ,M,M,M,0,29.41,30.08,11.1,23,11.4
1,20/5/2007,69,43,56,-5,40,44,9,0,427,1909,RA VCTS,0,M,0,0.07,29.38,30.11,10.4,4,10.7
2,20/5/2007,69,44,57,M,41,45,8,0,-,-,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7
1,21/5/2007,80,44,62,1,50,56,3,0,426,1910, ,0,M,0,0,29.33,30.06,6.3,11,8.2
2,21/5/2007,79,46,63,M,50,57,2,0,-,-, ,M,M,M,0,29.39,30.05,6.3,10,7.8
1,22/5/2007,87,55,71,10,46,58,0,6,425,1911, ,0,M,0,0,29.34,30.06,10,18,10.2
2,22/5/2007,87,60,74,M,44,58,0,9,-,-, ,M,M,M,0,29.41,30.05,10.1,16,10.6
1,23/5/2007,89,60,75,14,49,61,0,10,425,1912, ,0,M,0,0,29.39,30.1,11.4,19,11.8
2,23/5/2007,89,66,78,M,48,61,0,13,-,-, ,M,M,M,0,29.47,30.1,10.9,18,11.2
1,24/5/2007,88,63,76,14,54,63,0,11,424,1913,RA HZ,0,M,0,0.02,29.41,30.11,14.9,21,17.3
2,24/5/2007,88,66,77,M,53,63,0,12,-,-,RA HZ,M,M,M,  T,29.47,30.1,13.8,20,15.2
1,25/5/2007,70,56,63,1,44,53,2,0,423,1914, ,0,M,0,  T,29.51,30.24,4.9,5,8.8
2,25/5/2007,66,57,62,M,46,53,3,0,-,-,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2
1,26/5/2007,65,49,57,-5,55,56,8,0,422,1915,TSRA RA BR HZ,0,M,0,1.01,29.36,30.11,2.8,17,7.2
2,26/5/2007,70,50,60,M,55,57,5,0,-,-,TSRA RA BR,M,M,M,0.28,29.42,30.1,2.5,15,7.8
1,27/5/2007,75,57,66,4,47,56,0,1,422,1916,RA BR,0,M,0,0.04,29.34,30.06,8.9,26,9.5
2,27/5/2007,75,59,67,M,49,57,0,2,-,-,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2
1,28/5/2007,79,50,65,2,47,56,0,0,421,1916,RA,0,M,0,  T,29.43,30.15,4.8,10,5.3
2,28/5/2007,76,54,65,M,49,57,0,0,-,-, ,M,M,M,0,29.49,30.14,4.7,8,5.2
1,29/5/2007,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,M,0,0,29.39,30.11,5.8,18,6.5
2,29/5/2007,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0,29.44,30.09,5.8,16,7.4
1,30/5/2007,87,66,77,13,58,65,0,12,420,1918,HZ,0,M,0,0,29.31,30.04,10.3,19,10.6
2,30/5/2007,89,70,80,M,57,66,0,15,-,-,HZ,M,M,M,0,29.38,30.03,9.7,17,10.1
1,31/5/2007,78,65,72,8,61,65,0,7,420,1919,RA HZ,0,M,0,0.01,29.28,30,9.3,19,9.9
2,31/5/2007,80,68,74,M,61,66,0,9,-,-,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2
1,1/6/2007,85,62,74,10,63,66,0,9,419,1920,TSRA BR HZ,0,M,0,0.19,29.19,29.91,4.2,17,6.4
2,1/6/2007,86,67,77,M,63,67,0,12,-,-,TSRA BR HZ,M,M,M,0.21,29.25,29.9,4.7,16,5.8
1,2/6/2007,81,65,73,9,63,67,0,8,419,1920,RA BR,0,M,0,0.04,29.03,29.77,6.5,22,7.4
2,2/6/2007,81,68,75,M,62,67,0,10,-,-,RA BR,M,M,M,  T,29.1,29.76,7.5,21,8.2
1,3/6/2007,78,62,70,6,60,63,0,5,418,1921,TSRA RA BR HZ,0,M,0,0.01,28.82,29.56,5.2,25,6.7
2,3/6/2007,77,64,71,M,60,64,0,6,-,-,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2
1,4/6/2007,71,58,65,1,58,60,0,0,418,1922,TSRA RA BR,0,M,0,0.39,28.82,29.52,7.8,31,9.7
2,4/6/2007,72,56,64,M,57,60,1,0,-,-,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1
1,5/6/2007,64,47,56,-9,48,51,9,0,417,1923,RA BR,0,M,0,0.42,29.1,29.79,5.2,5,7.6
2,5/6/2007,63,51,57,M,47,52,8,0,-,-,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1
1,6/6/2007,71,44,58,-8,48,55,7,0,417,1923,RA,0,M,0,0.01,29.07,29.81,10.8,17,11.4
2,6/6/2007,73,48,61,M,47,55,4,0,-,-,RA,M,M,M,  T,29.13,29.82,9.6,15,10.6
1,7/6/2007,91,71,81,15,62,69,0,16,417,1924, ,0,M,0,0,28.84,29.55,22.7,20,23.1
2,7/6/2007,92,71,82,M,61,68,0,17,-,-, ,M,M,M,0,28.91,29.55,20.3,19,20.7
1,8/6/2007,81,57,69,3,53,61,0,4,417,1925, ,0,M,0,0,29.18,29.85,10.9,28,13.8
2,8/6/2007,81,63,72,M,54,62,0,7,-,-, ,M,M,M,0,29.24,29.83,9.3,26,12.4
1,9/6/2007,79,52,66,0,47,57,0,1,416,1925, ,0,M,0,0,29.36,30.07,0.3,33,5
2,9/6/2007,79,57,68,M,49,58,0,3,-,-, ,M,M,M,0,29.42,30.05,2.4,19,4.7
1,10/6/2007,81,55,68,1,51,59,0,3,416,1926, ,0,M,0,0,29.34,30.05,4.8,17,5.6
2,10/6/2007,81,61,71,M,50,60,0,6,-,-, ,M,M,M,0,29.39,30.04,4.6,16,5.8
1,11/6/2007,86,58,72,5,52,61,0,7,416,1926, ,0,M,0,0,29.41,30.11,4.9,11,6.9
2,11/6/2007,85,65,75,M,51,61,0,10,-,-, ,M,M,M,0,29.47,30.09,6.6,9,8.4
1,12/6/2007,83,62,73,5,50,60,0,8,416,1927, ,0,M,0,0,29.44,30.16,8.3,5,8.8
2,12/6/2007,82,66,74,M,51,61,0,9,-,-, ,M,M,M,0,29.49,30.14,9.4,5,10
1,13/6/2007,87,60,74,6,53,62,0,9,416,1927, ,0,M,0,0,29.36,30.09,7.2,5,8.6
2,13/6/2007,86,68,77,M,53,62,0,12,-,-, ,M,M,M,0,M,M,7,5,M
1,14/6/2007,89,64,77,9,55,64,0,12,416,1928, ,0,M,0,0,29.3,30.02,5.6,5,6.8
2,14/6/2007,89,68,79,M,54,63,0,14,-,-, ,M,M,M,0,29.36,30,5.9,7,6.4
1,15/6/2007,91,63,77,9,56,64,0,12,416,1928, ,0,M,0,0,29.28,29.99,4.1,6,4.9
2,15/6/2007,89,67,78,M,56,65,0,13,-,-, ,M,M,M,0,29.34,29.97,3.8,9,4.1
1,16/6/2007,93,66,80,11,60,67,0,15,416,1929,RA HZ,0,M,0,  T,29.26,29.97,4.8,28,5.8
2,16/6/2007,92,68,80,M,61,68,0,15,-,-,HZ,M,M,M,  T,29.33,29.96,2.1,22,6.1
1,17/6/2007,91,70,81,12,64,70,0,16,416,1929,HZ,0,M,0,0,29.23,29.95,2.8,11,6.3
2,17/6/2007,91,71,81,M,65,70,0,16,-,-,HZ,M,M,M,0.16,29.28,29.93,4,11,6.1
1,18/6/2007,89,69,79,9,65,70,0,14,416,1929,TSRA RA HZ,0,M,0,0.28,29.12,29.84,14,20,15.1
2,18/6/2007,89,73,81,M,65,70,0,16,-,-,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6
1,19/6/2007,80,65,73,3,55,63,0,8,416,1930,RA,0,M,0,0.58,29.26,29.95,10.7,28,11.4
2,19/6/2007,81,65,73,M,55,63,0,8,-,-,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3
1,20/6/2007,84,61,73,3,52,61,0,8,416,1930, ,0,M,0,0,29.39,30.1,7.8,27,8.8
2,20/6/2007,85,62,74,M,50,61,0,9,-,-, ,M,M,M,0,29.46,30.09,5.9,28,7.7
1,21/6/2007,77,61,69,-1,51,60,0,4,416,1930,RA,0,M,0,0.01,29.36,30.08,3.5,3,10.7
2,21/6/2007,80,66,73,M,51,61,0,8,-,-,RA,M,M,M,  T,29.41,30.06,3.7,2,9.6
1,22/6/2007,76,61,69,-1,50,58,0,4,417,1931,RA,0,M,0,  T,29.33,30.06,7.8,6,8.7
2,22/6/2007,75,62,69,M,49,58,0,4,-,-,RA,M,M,M,  T,29.39,30.05,6.5,7,8.1
1,23/6/2007,67,62,65,-5,58,61,0,0,417,1931,RA BR,0,M,0,0.05,29.23,29.96,7.6,12,9
2,23/6/2007,68,61,65,M,60,62,0,0,-,-,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1
1,24/6/2007,77,63,70,-1,62,65,0,5,417,1931,BR HZ,0,M,0,0,29.26,29.97,7,9,8
2,24/6/2007,75,65,70,M,62,65,0,5,-,-,BR HZ,M,M,M,0,29.33,29.96,5.6,10,6
1,25/6/2007,89,65,77,6,66,70,0,12,417,1931,BR HZ,0,M,0,0,29.38,30.07,3.9,14,6.8
2,25/6/2007,86,67,77,M,67,70,0,12,-,-,BR HZ,M,M,M,0,29.44,30.06,4,12,5.9
1,26/6/2007,92,70,81,10,69,72,0,16,418,1931,TSRA BR HZ VCTS,0,M,0,0.16,29.39,30.11,6.1,22,7.1
2,26/6/2007,91,73,82,M,69,72,0,17,-,-,BR HZ,M,M,M,  T,29.45,30.09,7.3,21,8.1
1,27/6/2007,91,71,81,10,70,72,0,16,418,1931,TSRA,0,M,0,0.15,29.29,30.02,7.5,24,8.8
2,27/6/2007,89,71,80,M,69,72,0,15,-,-,TSRA RA BR,M,M,M,0.35,29.36,30,7.9,24,8.5
1,28/6/2007,74,58,66,-5,55,60,0,1,419,1931, ,0,M,0,0,29.41,30.09,11.9,3,12.5
2,28/6/2007,73,61,67,M,56,61,0,2,-,-, ,M,M,M,M,29.43,30.07,12.2,2,13.3
1,29/6/2007,70,56,63,-8,55,59,2,0,419,1931, ,0,M,0,0,29.41,30.13,7.6,2,8.3
2,29/6/2007,71,56,64,M,56,60,1,0,-,-, ,M,M,M,M,29.47,30.11,7.4,2,8.2
1,30/6/2007,79,54,67,-5,46,56,0,2,419,1931, ,0,M,0,0,29.41,30.13,4.9,3,5.8
2,30/6/2007,77,58,68,M,49,58,0,3,-,-, ,M,M,M,0,29.46,30.11,5.1,4,6.2
1,1/7/2007,75,54,65,-7,52,58,0,0,420,1931, ,0,M,0,0,29.51,30.23,8.6,4,8.6
2,1/7/2007,76,61,69,M,51,59,0,4,-,-, ,M,M,M,0,29.56,30.21,9.5,4,9.7
1,2/7/2007,79,53,66,-6,50,58,0,1,420,1931, ,0,M,0,0,29.49,30.22,5.9,14,8.1
2,2/7/2007,77,58,68,M,50,59,0,3,-,-, ,M,M,M,0,29.55,30.21,7.4,12,8.5
1,3/7/2007,83,60,72,0,57,63,0,7,421,1931,TSRA RA BR,0,M,0,0.4,29.31,30.06,6.7,21,7.3
2,3/7/2007,83,63,73,M,56,63,0,8,-,-,TSRA RA,M,M,M,0.09,29.38,30.05,6.4,21,7.4
1,4/7/2007,86,67,77,5,65,69,0,12,422,1930,TSRA BR HZ FU,0,M,0,0.16,29.18,29.9,4.6,27,8.2
2,4/7/2007,84,67,76,M,65,69,0,11,-,-,TSRA RA HZ FU,M,M,M,0.66,29.23,29.88,3.1,25,8.8
1,5/7/2007,89,71,80,8,60,67,0,15,422,1930,BR HZ FU,0,M,0,0,29.24,29.94,6.4,31,8.1
2,5/7/2007,88,70,79,M,60,67,0,14,-,-,BR,M,M,M,0,29.29,29.92,4.3,33,6.9
1,6/7/2007,86,66,76,4,57,64,0,11,423,1930, ,0,M,0,0,29.32,30.03,3.2,5,5.5
2,6/7/2007,84,68,76,M,57,65,0,11,-,-, ,M,M,M,0,29.38,30.01,3.3,7,5.5
1,7/7/2007,90,64,77,5,63,69,0,12,423,1930, ,0,M,0,0,29.18,29.91,8.4,22,8.6
2,7/7/2007,88,68,78,M,62,68,0,13,-,-, ,M,M,M,0,29.24,29.9,7.4,23,8.1
1,8/7/2007,94,75,85,12,67,72,0,20,424,1929, ,0,M,0,0,29.05,29.77,12.9,24,13.1
2,8/7/2007,93,75,84,M,67,72,0,19,-,-, ,M,M,M,0,29.12,29.76,12.6,23,12.7
1,9/7/2007,94,70,82,9,66,70,0,17,425,1929,TSRA RA VCTS,0,M,0,0.3,29.11,29.8,4.9,24,8.8
2,9/7/2007,93,72,83,M,67,71,0,18,-,-,RA,M,M,M,0.24,29.16,29.79,4.8,23,8.8
1,10/7/2007,89,69,79,6,67,70,0,14,425,1929,HZ VCTS,0,M,0,0.43,29.06,29.77,8.6,23,10.5
2,10/7/2007,89,70,80,M,67,71,0,15,-,-,TSRA HZ,M,M,M,0.08,29.13,29.76,8.2,23,10.2
1,11/7/2007,77,62,70,-3,51,59,0,5,426,1928, ,0,M,0,0,29.23,29.93,8.8,30,10.9
2,11/7/2007,77,63,70,M,51,59,0,5,-,-, ,M,M,M,0,29.28,29.92,9.1,30,11.2
1,12/7/2007,80,61,71,-2,51,59,0,6,427,1928, ,0,M,0,0,29.22,29.93,9.4,29,11.1
2,12/7/2007,80,60,70,M,51,60,0,5,-,-,VCTS,M,M,M,0,29.28,29.92,10,28,11.4
1,13/7/2007,78,58,68,-5,52,58,0,3,428,1927, ,0,M,0,0,29.26,29.98,1.4,1,5.3
2,13/7/2007,74,59,67,M,53,59,0,2,-,-, ,M,M,M,0,29.33,29.98,2,7,5.8
1,14/7/2007,84,61,73,0,55,62,0,8,428,1927, ,0,M,0,0,29.08,29.79,8.3,26,13.2
2,14/7/2007,85,62,74,M,55,62,0,9,-,-, ,M,M,M,0,29.14,29.79,8.4,25,13.9
1,15/7/2007,82,60,71,-3,53,61,0,6,429,1926, ,0,M,0,0,29.19,29.89,2.1,29,4.9
2,15/7/2007,80,64,72,M,52,61,0,7,-,-, ,M,M,M,0,29.25,29.88,1.2,9,6.5
1,16/7/2007,82,65,74,0,60,65,0,9,430,1925,RA BR,0,M,0,0.39,29.25,29.96,4.4,24,5.2
2,16/7/2007,82,66,74,M,60,65,0,9,-,-,TSRA RA,M,M,M,0.07,29.31,29.94,5.6,23,6.6
1,17/7/2007,83,68,76,2,66,69,0,11,431,1925,RA BR VCTS,0,M,0,0.11,29.18,29.9,5.2,23,6.5
2,17/7/2007,83,69,76,M,65,69,0,11,-,-,RA BR,M,M,M,0.11,29.24,29.89,6.3,23,7.4
1,18/7/2007,85,69,77,3,68,71,0,12,432,1924,TSRA RA BR VCTS,0,M,0,1.55,29.11,29.84,9.1,24,10.1
2,18/7/2007,85,69,77,M,69,71,0,12,-,-,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6
1,19/7/2007,83,63,73,-1,63,66,0,8,433,1923,DZ BR,0,M,0,0.16,29.21,29.9,7,1,11.9
2,19/7/2007,82,63,73,M,62,66,0,8,-,-,BR HZ,M,M,M,0.01,29.26,29.88,7.7,36,14.4
1,20/7/2007,75,58,67,-7,53,59,0,2,433,1923, ,0,M,0,0,29.44,30.14,8.6,3,9.1
2,20/7/2007,74,62,68,M,52,59,0,3,-,-, ,M,M,M,0,29.49,30.12,11.3,4,11.5
1,21/7/2007,74,58,66,-8,52,58,0,1,434,1922, ,0,M,0,0,29.51,30.22,6.5,3,7.4
2,21/7/2007,75,58,67,M,52,59,0,2,-,-, ,M,M,M,0,29.57,30.21,5.8,4,7.4
1,22/7/2007,81,58,70,-4,55,61,0,5,435,1921, ,0,M,0,0,29.49,30.21,1.7,16,3.3
2,22/7/2007,81,61,71,M,54,61,0,6,-,-, ,M,M,M,0,29.54,30.2,1.9,18,3.5
1,23/7/2007,83,60,72,-2,55,63,0,7,436,1920, ,0,M,0,0,29.37,30.1,3.2,9,4
2,23/7/2007,82,63,73,M,55,63,0,8,-,-, ,M,M,M,0,29.42,30.09,2.9,12,3.9
1,24/7/2007,82,65,74,0,58,64,0,9,437,1919, ,0,M,0,0,29.32,30.04,3.1,20,5.2
2,24/7/2007,82,65,74,M,57,64,0,9,-,-, ,M,M,M,  T,29.38,30.03,1.1,21,4.9
1,25/7/2007,85,71,78,4,61,67,0,13,438,1918, ,0,M,0,  T,29.29,30,5.8,25,6.6
2,25/7/2007,83,70,77,M,60,66,0,12,-,-, ,M,M,M,0,29.35,29.99,6.4,23,7
1,26/7/2007,83,66,75,1,65,68,0,10,439,1918,TS TSRA RA BR HZ,0,M,0,0.19,29.19,29.92,7.2,22,9.4
2,26/7/2007,84,64,74,M,65,68,0,9,-,-,TS TSRA BR HZ,M,M,M,0.89,29.25,29.91,7.2,22,9.9
1,27/7/2007,83,70,77,3,68,70,0,12,440,1917,RA BR HZ,0,M,0,0.17,29.11,29.82,3,3,7.9
2,27/7/2007,83,70,77,M,67,70,0,12,-,-,RA BR HZ,M,M,M,0.04,29.16,29.8,1.2,36,8.1
1,28/7/2007,80,66,73,-1,65,68,0,8,441,1916,BR HZ,0,M,0,0,29.23,29.93,10,3,10.2
2,28/7/2007,80,70,75,M,65,68,0,10,-,-,BR HZ,M,M,M,0,29.28,29.91,10.6,3,10.7
1,29/7/2007,85,63,74,0,57,64,0,9,442,1915, ,0,M,0,0,29.28,29.99,4.8,5,5.7
2,29/7/2007,85,67,76,M,56,64,0,11,-,-, ,M,M,M,0,29.34,29.97,6.3,5,6.9
1,30/7/2007,89,62,76,2,55,64,0,11,443,1914, ,0,M,0,0,29.33,30.03,3.8,6,4.3
2,30/7/2007,86,65,76,M,57,65,0,11,-,-, ,M,M,M,0,29.39,30.01,3.1,6,4.6
1,31/7/2007,91,68,80,6,61,68,0,15,444,1913, ,0,M,0,0,29.33,30.04,3.3,4,4.9
2,31/7/2007,89,69,79,M,60,68,0,14,-,-, ,M,M,M,0,29.39,30.02,4,7,5
1,1/8/2007,92,69,81,8,62,69,0,16,445,1911,HZ,0,M,0,0,29.29,30,3.5,9,4.1
2,1/8/2007,91,69,80,M,63,70,0,15,-,-, ,M,M,M,0,29.34,29.98,2.1,13,3.7
1,2/8/2007,91,70,81,8,66,71,0,16,446,1910,HZ,0,M,0,0,29.26,29.97,5.5,26,5.9
2,2/8/2007,91,73,82,M,66,72,0,17,-,-, ,M,M,M,0,29.31,29.95,6.5,23,7.2
1,3/8/2007,90,69,80,7,56,66,0,15,447,1909, ,0,M,0,0,29.31,30.02,2.7,3,5.7
2,3/8/2007,88,73,81,M,58,67,0,16,-,-, ,M,M,M,0,29.36,30,3.3,6,5.8
1,4/8/2007,81,64,73,0,58,64,0,8,448,1908,RA,0,M,0,0.03,29.31,30.03,5.7,8,6.1
2,4/8/2007,81,68,75,M,58,65,0,10,-,-,RA,M,M,M,0.02,29.36,30.01,5.9,9,6.6
1,5/8/2007,88,67,78,5,71,73,0,13,449,1907,TSRA RA BR HZ,0,M,0,1.43,29.08,29.81,5.4,21,9.6
2,5/8/2007,88,68,78,M,71,72,0,13,-,-,TSRA RA BR VCTS,M,M,M,0.97,29.15,29.79,7,22,10.2
1,6/8/2007,88,74,81,8,72,74,0,16,450,1906,TSRA RA BR HZ,0,M,0,0.26,29.13,29.83,1.6,10,4.9
2,6/8/2007,85,75,80,M,72,74,0,15,-,-,TS TSRA BR HZ,M,M,M,0.05,29.17,29.81,2.6,10,4.6
1,7/8/2007,91,72,82,9,73,76,0,17,451,1904,RA BR,0,M,0,1.31,29.06,29.76,6.2,25,9
2,7/8/2007,92,73,83,M,73,76,0,18,-,-,VCTS,M,M,M,0.06,29.11,29.74,6.3,24,8.8
1,8/8/2007,87,73,80,7,71,73,0,15,452,1903,TSRA RA BR,0,M,0,0.06,29.13,29.83,3,3,6.9
2,8/8/2007,87,74,81,M,72,74,0,16,-,-,TSRA RA DZ BR HZ,M,M,M,0.09,29.18,29.81,1.5,4,6.4
1,9/8/2007,84,72,78,5,71,73,0,13,453,1902,TSRA RA,0,M,0,0.05,29.13,29.84,2.5,29,6
2,9/8/2007,85,73,79,M,71,73,0,14,-,-,TSRA BR HZ,M,M,M,0.46,29.19,29.82,3.1,27,6.3
1,10/8/2007,86,70,78,5,68,72,0,13,454,1900,BR,0,M,0,0,29.26,29.96,4.5,2,5.9
2,10/8/2007,86,73,80,M,69,72,0,15,-,-, ,M,M,M,0,29.32,29.94,3,6,5.4
1,11/8/2007,89,67,78,5,65,70,0,13,455,1859,BR HZ,0,M,0,0,29.31,30.02,3.2,19,3.9
2,11/8/2007,88,68,78,M,65,70,0,13,-,-,BR HZ,M,M,M,0,29.38,30,3.1,20,3.9
1,12/8/2007,88,67,78,5,67,71,0,13,456,1858,TSRA,0,M,0,0.29,29.34,30.06,1.7,6,5.4
2,12/8/2007,87,68,78,M,67,70,0,13,-,-,TSRA,M,M,M,0.23,29.4,30.04,1.9,6,6.6
1,13/8/2007,81,65,73,0,57,64,0,8,457,1856,BR,0,M,0,0,29.39,30.11,6.2,6,6.9
2,13/8/2007,80,69,75,M,54,63,0,10,-,-, ,M,M,M,0,29.44,30.08,6.9,8,7.7
1,14/8/2007,84,65,75,3,67,70,0,10,458,1855,TS TSRA RA BR,0,M,0,0.41,29.23,29.93,5.9,25,8
2,14/8/2007,84,65,75,M,66,69,0,10,-,-,TSRA RA BR,M,M,M,0.45,29.29,29.92,6.4,23,9
1,15/8/2007,80,71,76,4,67,70,0,11,459,1854,TSRA RA BR,0,M,0,0.23,29.17,29.89,3.4,7,5.8
2,15/8/2007,81,72,77,M,69,71,0,12,-,-,TS TSRA RA BR,M,M,M,0.83,29.23,29.87,4.9,6,7.1
1,16/8/2007,77,65,71,-1,64,67,0,6,500,1852,BR,0,M,0,0,29.28,29.97,3.6,1,5.7
2,16/8/2007,77,67,72,M,65,68,0,7,-,-,BR,M,M,M,0,29.33,29.95,3.5,1,5.7
1,17/8/2007,79,60,70,-2,54,61,0,5,501,1851, ,0,M,0,0,29.41,30.1,5.9,32,6.8
2,17/8/2007,80,65,73,M,54,62,0,8,-,-, ,M,M,M,0,29.46,30.08,6.1,31,7.4
1,18/8/2007,68,59,64,-8,54,58,1,0,502,1849,RA,0,M,0,0.09,29.44,30.16,6.4,12,8.1
2,18/8/2007,69,60,65,M,54,58,0,0,-,-,RA,M,M,M,0.42,29.48,30.15,6.1,13,7
1,19/8/2007,68,62,65,-6,62,64,0,0,503,1848,TS RA BR,0,M,0,1.33,29.24,29.99,6,10,7.4
2,19/8/2007,69,62,66,M,63,64,0,1,-,-,TS RA BR,M,M,M,1.33,29.3,29.98,5.5,10,7.5
1,20/8/2007,78,68,73,2,68,69,0,8,504,1846,TSRA RA BR,0,M,0,0.91,29.15,29.87,0.5,12,5.7
2,20/8/2007,76,68,72,M,69,70,0,7,-,-,TS TSRA RA BR HZ,M,M,M,0.48,29.21,29.85,2.4,20,5.9
1,21/8/2007,87,69,78,7,70,72,0,13,505,1845,BR HZ,0,M,0,  T,29.21,29.91,3.8,18,6
2,21/8/2007,85,69,77,M,70,72,0,12,-,-,BR,M,M,M,0.01,29.26,29.89,3.5,17,6
1,22/8/2007,90,69,80,9,71,73,0,15,506,1843,TS TSRA RA,0,M,0,0.37,29.23,29.94,5.3,21,9.5
